index,batting_position,BATTING,dismissal,R,B,M,4s,6s,SR,teams_country,teams_playing,match_id
584,5,Marcus Stoinis,out,7,14,16,0,0,50,New Zealand,New Zealand vs Australia,T20I # 1839
585,6,Tim David,out,11,8,12,0,1,137.5,New Zealand,New Zealand vs Australia,T20I # 1839
586,7,Matthew Wade,out,2,4,10,0,0,50,New Zealand,New Zealand vs Australia,T20I # 1839
587,8,Pat Cummins,out,21,18,27,2,1,116.66,New Zealand,New Zealand vs Australia,T20I # 1839
588,9,Mitchell Starc,out,4,7,13,0,0,57.14,New Zealand,New Zealand vs Australia,T20I # 1839
589,10,Adam Zampa,out,0,2,3,0,0,0,New Zealand,New Zealand vs Australia,T20I # 1839
590,11,Josh Hazlewood,not out ,1,1,6,0,0,100,New Zealand,New Zealand vs Australia,T20I # 1839
591,1,Regis Chakabva,out,4,3,3,1,0,133.33,Scotland,Scotland vs Zimbabwe,T20I # 1838
592,2,Craig Ervine(c),out,58,54,79,6,0,107.4,Scotland,Scotland vs Zimbabwe,T20I # 1838
593,3,Wessly Madhevere,out,0,5,8,0,0,0,Scotland,Scotland vs Zimbabwe,T20I # 1838
594,4,Sean Williams,out,7,12,28,0,0,58.33,Scotland,Scotland vs Zimbabwe,T20I # 1838
595,5,Sikandar Raza,out,40,23,34,3,2,173.91,Scotland,Scotland vs Zimbabwe,T20I # 1838
596,6,Milton Shumba,not out ,11,11,16,0,0,100,Scotland,Scotland vs Zimbabwe,T20I # 1838
597,7,Ryan Burl,not out ,9,5,7,1,0,180,Scotland,Scotland vs Zimbabwe,T20I # 1838
598,1,Paul Stirling,not out ,66,48,79,6,2,137.5,West Indies,West Indies vs Ireland,T20I # 1837
599,2,Andy Balbirnie(c),out,37,23,34,3,3,160.86,West Indies,West Indies vs Ireland,T20I # 1837
600,3,Lorcan Tucker,not out ,45,35,46,2,2,128.57,West Indies,West Indies vs Ireland,T20I # 1837
601,1,Michael van Lingen,out,10,8,14,1,0,125,United Arab Emirates,United Arab Emirates vs Namibia,
602,2,Stephan Baard,out,4,6,9,1,0,66.66,United Arab Emirates,United Arab Emirates vs Namibia,
603,3,Jan Nicol Loftie-Eaton,out,1,6,17,0,0,16.66,United Arab Emirates,United Arab Emirates vs Namibia,
604,4,Gerhard Erasmus(c),out,16,18,23,2,0,88.88,United Arab Emirates,United Arab Emirates vs Namibia,
605,5,Jan Frylinck,out,14,17,33,1,0,82.35,United Arab Emirates,United Arab Emirates vs Namibia,
606,6,JJ Smit,out,3,3,3,0,0,100,United Arab Emirates,United Arab Emirates vs Namibia,
607,7,David Wiese,out,55,36,65,3,3,152.77,United Arab Emirates,United Arab Emirates vs Namibia,
608,8,Zane Green,out,2,3,3,0,0,66.66,United Arab Emirates,United Arab Emirates vs Namibia,
609,9,Ruben Trumpelmann,not out ,25,24,43,1,1,104.16,United Arab Emirates,United Arab Emirates vs Namibia,
610,10,Bernard Scholtz,not out ,1,1,-,0,0,100,United Arab Emirates,United Arab Emirates vs Namibia,
611,1,Max O'Dowd,not out ,71,53,99,6,3,133.96,Sri Lanka,Sri Lanka vs Netherlands,T20I # 1835
612,2,Vikramjit Singh,out,7,14,18,0,0,50,Sri Lanka,Sri Lanka vs Netherlands,T20I # 1835
613,3,Bas de Leede,out,14,10,12,1,1,140,Sri Lanka,Sri Lanka vs Netherlands,T20I # 1835
614,4,Colin Ackermann,out,0,1,4,0,0,0,Sri Lanka,Sri Lanka vs Netherlands,T20I # 1835
615,5,Tom Cooper,out,16,19,23,2,0,84.21,Sri Lanka,Sri Lanka vs Netherlands,T20I # 1835
616,6,Scott Edwards(c),out,21,15,16,3,0,140,Sri Lanka,Sri Lanka vs Netherlands,T20I # 1835
617,7,Tim Pringle,out,2,4,8,0,0,50,Sri Lanka,Sri Lanka vs Netherlands,T20I # 1835
618,8,Timm van der Gugten,out,0,1,2,0,0,0,Sri Lanka,Sri Lanka vs Netherlands,T20I # 1835
619,9,Fred Klaassen,out,3,3,5,0,0,100,Sri Lanka,Sri Lanka vs Netherlands,T20I # 1835
620,10,Paul van Meekeren,out,0,0,4,0,0,-,Sri Lanka,Sri Lanka vs Netherlands,T20I # 1835
621,11,Roelof van der Merwe,not out ,0,1,14,0,0,0,Sri Lanka,Sri Lanka vs Netherlands,T20I # 1835
622,1,Wessly Madhevere,out,27,19,37,3,1,142.1,West Indies,West Indies vs Zimbabwe,T20I # 1834
623,2,Regis Chakabva(c),out,13,9,14,3,0,144.44,West Indies,West Indies vs Zimbabwe,T20I # 1834
624,3,Tony Munyonga,out,2,6,12,0,0,33.33,West Indies,West Indies vs Zimbabwe,T20I # 1834
625,4,Sean Williams,out,1,2,4,0,0,50,West Indies,West Indies vs Zimbabwe,T20I # 1834
626,5,Sikandar Raza,out,14,8,12,1,1,175,West Indies,West Indies vs Zimbabwe,T20I # 1834
627,6,Milton Shumba,out,2,9,20,0,0,22.22,West Indies,West Indies vs Zimbabwe,T20I # 1834
628,7,Ryan Burl,out,17,19,30,3,0,89.47,West Indies,West Indies vs Zimbabwe,T20I # 1834
629,8,Luke Jongwe,out,29,22,31,3,1,131.81,West Indies,West Indies vs Zimbabwe,T20I # 1834
630,9,Richard Ngarava,out,2,6,11,0,0,33.33,West Indies,West Indies vs Zimbabwe,T20I # 1834
631,10,Tendai Chatara,out,3,8,12,0,0,37.5,West Indies,West Indies vs Zimbabwe,T20I # 1834
632,11,Blessing Muzarabani,not out ,1,4,4,0,0,25,West Indies,West Indies vs Zimbabwe,T20I # 1834
633,1,Paul Stirling,out,8,10,22,1,0,80,Scotland,Scotland vs Ireland,T20I # 1833
634,2,Andy Balbirnie(c),out,14,12,15,2,0,116.66,Scotland,Scotland vs Ireland,T20I # 1833
635,3,Lorcan Tucker,out,20,17,28,2,0,117.64,Scotland,Scotland vs Ireland,T20I # 1833
636,4,Harry Tector,out,14,16,23,1,0,87.5,Scotland,Scotland vs Ireland,T20I # 1833
637,5,Curtis Campher,not out ,72,32,48,7,2,225,Scotland,Scotland vs Ireland,T20I # 1833
638,6,George Dockrell,not out ,39,27,42,4,1,144.44,Scotland,Scotland vs Ireland,T20I # 1833
639,1,Muhammad Waseem,out,2,4,13,0,0,50,Sri Lanka,Sri Lanka vs United Arab Emirates,
640,2,Chirag Suri,out,14,19,31,3,0,73.68,Sri Lanka,Sri Lanka vs United Arab Emirates,
641,3,Aryan Lakra,out,1,3,4,0,0,33.33,Sri Lanka,Sri Lanka vs United Arab Emirates,
642,4,Chundangapoyil Rizwan(c),out,1,3,8,0,0,33.33,Sri Lanka,Sri Lanka vs United Arab Emirates,
643,5,Vriitya Aravind,out,9,18,26,1,0,50,Sri Lanka,Sri Lanka vs United Arab Emirates,
644,6,Basil Hameed,out,2,6,14,0,0,33.33,Sri Lanka,Sri Lanka vs United Arab Emirates,
645,7,Aayan Afzal Khan,out,19,21,33,1,0,90.47,Sri Lanka,Sri Lanka vs United Arab Emirates,
646,8,Kashif Daud,out,0,4,8,0,0,0,Sri Lanka,Sri Lanka vs United Arab Emirates,
647,9,Karthik Meiyappan,out,4,8,11,0,0,50,Sri Lanka,Sri Lanka vs United Arab Emirates,
648,10,Junaid Siddique,out,18,16,22,1,1,112.5,Sri Lanka,Sri Lanka vs United Arab Emirates,
649,11,Zahoor Khan,not out ,1,1,15,0,0,100,Sri Lanka,Sri Lanka vs United Arab Emirates,
650,1,Max O'Dowd,out,35,35,59,1,1,100,Namibia,Namibia vs Netherlands,T20I # 1830
651,2,Vikramjit Singh,out,39,31,37,3,2,125.8,Namibia,Namibia vs Netherlands,T20I # 1830
652,3,Bas de Leede,not out ,30,30,51,2,0,100,Namibia,Namibia vs Netherlands,T20I # 1830
653,4,Tom Cooper,out,6,6,7,1,0,100,Namibia,Namibia vs Netherlands,T20I # 1830
654,5,Colin Ackermann,out,0,2,2,0,0,0,Namibia,Namibia vs Netherlands,T20I # 1830
655,6,Scott Edwards(c),out,1,5,5,0,0,20,Namibia,Namibia vs Netherlands,T20I # 1830
656,7,Tim Pringle,not out ,8,9,14,0,0,88.88,Namibia,Namibia vs Netherlands,T20I # 1830
657,1,Paul Stirling,out,0,2,3,0,0,0,Zimbabwe,Zimbabwe vs Ireland,T20I # 1828
658,2,Andy Balbirnie(c),out,3,4,20,0,0,75,Zimbabwe,Zimbabwe vs Ireland,T20I # 1828
659,3,Lorcan Tucker,out,11,11,10,2,0,100,Zimbabwe,Zimbabwe vs Ireland,T20I # 1828
660,4,Harry Tector,out,1,4,5,0,0,25,Zimbabwe,Zimbabwe vs Ireland,T20I # 1828
661,5,Curtis Campher,out,27,22,41,1,0,122.72,Zimbabwe,Zimbabwe vs Ireland,T20I # 1828
662,6,George Dockrell,out,24,20,25,3,0,120,Zimbabwe,Zimbabwe vs Ireland,T20I # 1828
663,7,Gareth Delany,out,24,20,23,1,1,120,Zimbabwe,Zimbabwe vs Ireland,T20I # 1828
664,8,Mark Adair,out,9,10,18,0,1,90,Zimbabwe,Zimbabwe vs Ireland,T20I # 1828
665,9,Simi Singh,out,0,1,1,0,0,0,Zimbabwe,Zimbabwe vs Ireland,T20I # 1828
666,10,Barry McCarthy,not out ,22,16,23,1,2,137.5,Zimbabwe,Zimbabwe vs Ireland,T20I # 1828
667,11,Josh Little,not out ,7,11,17,1,0,63.63,Zimbabwe,Zimbabwe vs Ireland,T20I # 1828
668,1,Kyle Mayers,out,20,13,12,3,1,153.84,Scotland,Scotland vs West Indies,T20I # 1826
669,2,Evin Lewis,out,14,13,30,1,1,107.69,Scotland,Scotland vs West Indies,T20I # 1826
670,3,Brandon King,out,17,15,24,3,0,113.33,Scotland,Scotland vs West Indies,T20I # 1826
671,4,Nicholas Pooran(c),out,5,9,14,0,0,55.55,Scotland,Scotland vs West Indies,T20I # 1826
672,5,Shamarh Brooks,out,4,9,24,0,0,44.44,Scotland,Scotland vs West Indies,T20I # 1826
673,6,Rovman Powell,out,5,6,12,0,0,83.33,Scotland,Scotland vs West Indies,T20I # 1826
674,7,Jason Holder,out,38,33,37,4,1,115.15,Scotland,Scotland vs West Indies,T20I # 1826
675,8,Akeal Hosein,out,1,1,4,0,0,100,Scotland,Scotland vs West Indies,T20I # 1826
676,9,Alzarri Joseph,out,0,1,4,0,0,0,Scotland,Scotland vs West Indies,T20I # 1826
677,10,Odean Smith,out,5,8,14,0,0,62.5,Scotland,Scotland vs West Indies,T20I # 1826
678,11,Obed McCoy,not out ,2,3,10,0,0,66.66,Scotland,Scotland vs West Indies,T20I # 1826
679,1,Vikramjit Singh,out,10,7,8,2,0,142.85,United Arab Emirates,United Arab Emirates vs Netherlands,
680,2,Max O'Dowd,out,23,18,25,3,1,127.77,United Arab Emirates,United Arab Emirates vs Netherlands,
681,3,Bas de Leede,out,14,18,37,1,0,77.77,United Arab Emirates,United Arab Emirates vs Netherlands,
682,4,Colin Ackermann,out,17,19,33,1,0,89.47,United Arab Emirates,United Arab Emirates vs Netherlands,
683,5,Tom Cooper,out,8,16,22,0,0,50,United Arab Emirates,United Arab Emirates vs Netherlands,
684,6,Scott Edwards(c),not out ,16,19,42,0,0,84.21,United Arab Emirates,United Arab Emirates vs Netherlands,
685,7,Roelof van der Merwe,out,0,2,4,0,0,0,United Arab Emirates,United Arab Emirates vs Netherlands,
686,8,Tim Pringle,out,15,16,26,0,0,93.75,United Arab Emirates,United Arab Emirates vs Netherlands,
687,9,Logan van Beek,not out ,4,4,7,0,0,100,United Arab Emirates,United Arab Emirates vs Netherlands,
688,1,Pathum Nissanka,out,9,10,16,1,0,90,Namibia,Namibia vs Sri Lanka,T20I # 1823
689,2,Kusal Mendis,out,6,6,8,0,0,100,Namibia,Namibia vs Sri Lanka,T20I # 1823
690,3,Dhananjaya de Silva,out,12,11,25,1,0,109.09,Namibia,Namibia vs Sri Lanka,T20I # 1823
691,4,Danushka Gunathilaka,out,0,1,2,0,0,0,Namibia,Namibia vs Sri Lanka,T20I # 1823
692,5,Bhanuka Rajapaksa,out,20,21,39,2,0,95.23,Namibia,Namibia vs Sri Lanka,T20I # 1823
693,6,Dasun Shanaka(c),out,29,23,37,2,1,126.08,Namibia,Namibia vs Sri Lanka,T20I # 1823
694,7,Wanindu Hasaranga,out,4,8,9,0,0,50,Namibia,Namibia vs Sri Lanka,T20I # 1823
695,8,Chamika Karunaratne,out,5,8,15,0,0,62.5,Namibia,Namibia vs Sri Lanka,T20I # 1823
696,9,Pramod Madushan,out,0,0,4,0,0,-,Namibia,Namibia vs Sri Lanka,T20I # 1823
697,10,Dushmantha Chameera,out,8,15,20,0,0,53.33,Namibia,Namibia vs Sri Lanka,T20I # 1823
698,11,Maheesh Theekshana,not out ,11,11,14,0,1,100,Namibia,Namibia vs Sri Lanka,T20I # 1823
,,,,11169,,,909,,,,,
,,,,,,,,,,,,
,,,,,,,0.081385979,,,,,
