,player_name,player_country,batsman_batting_style,batsman_playing_role_x,batsman_bowling_style,batsman_playing_role_y
2909,Gulbadin Naib Career Stats,Afghanistan,Gulbadeen Naib,Right arm Medium fast,Right hand Bat,Right arm Medium fast
2934,Mohammad Nabi Career Stats,Afghanistan,Right hand Bat,Allrounder,Right arm Offbreak,Allrounder
2970,Rashid Khan Career Stats,Afghanistan,Right hand Bat,Bowling Allrounder,Legbreak Googly,Bowling Allrounder
3006,Azmatullah Omarzai Career Stats,Afghanistan,Right hand Bat,Allrounder,Right arm Medium fast,Allrounder
3031,Mujeeb Ur Rahman Career Stats,Afghanistan,Mujeeb Zadran,Right arm Offbreak,Right hand Bat,Right arm Offbreak
3067,Aaron Finch Career Stats,Australia,Finchy,Slow Left arm Orthodox,Right hand Bat,Slow Left arm Orthodox
3103,Tim David Career Stats,Australia,Right hand Bat,Middle order Batter,Right arm Offbreak,Middle order Batter
3119,Deepak Hooda Career Stats,India,Right hand Bat,Allrounder,Right arm Offbreak,Allrounder
3144,Bhuvneshwar Kumar Career Stats,India,Right hand Bat,Bowler,Right arm Medium,Bowler
3180,Mohammed Shami Career Stats,India,Right hand Bat,Bowler,Right arm Fast,Bowler
3216,Arshdeep Singh Career Stats,India,Left hand Bat,Bowler,Left arm Medium fast,Bowler
3241,Roelof van der Merwe Career Stats,Netherlands,"Roela, Bulldog",Slow Left arm Orthodox,Right hand Bat,Slow Left arm Orthodox
3266,Tim Pringle Career Stats,Netherlands,Right hand Bat,Allrounder,Slow Left arm Orthodox,Allrounder
3291,Logan van Beek Career Stats,Netherlands,Right hand Bat,Bowler,Right arm Medium fast,Bowler
3316,Fred Klaassen Career Stats,Netherlands,Right hand Bat,Bowler,Left arm Fast medium,Bowler
3341,Paul van Meekeren Career Stats,Netherlands,Right hand Bat,Bowler,Right arm Fast medium,Bowler
3366,Yasir Ali Career Stats,Bangladesh,Yasir Ali Rabbi,Right hand Bat,Rabbi,Right hand Bat
3402,Ish Sodhi Career Stats,Zealand,Right hand Bat,Bowler,Legbreak,Bowler
3438,Brad Evans Career Stats,Zimbabwe,Right hand Bat,Allrounder,Right arm Fast,Allrounder
3474,Temba Bavuma Career Stats,Africa,Right hand Bat,Middle order Batter,Right arm Medium,Middle order Batter
3510,Quinton de Kock Career Stats,Africa,Left hand Bat,Wicketkeeper Batter,Wicketkeeper,Wicketkeeper Batter
3546,Rilee Rossouw Career Stats,Africa,Left hand Bat,Top order Batter,Right arm Offbreak,Top order Batter
3571,Tristan Stubbs Career Stats,Africa,Right hand Bat,Wicketkeeper,Right arm Offbreak,Wicketkeeper
3596,Aiden Markram Career Stats,Africa,Right hand Bat,Opening Batter,Right arm Offbreak,Opening Batter
3632,David Miller Career Stats,Africa,Left hand Bat,Middle order Batter,Right arm Offbreak,Middle order Batter
3657,Wayne Parnell Career Stats,Africa,"Pigeon, Parny",Left arm Medium fast,Left hand Bat,Left arm Medium fast
3693,Paul Stirling Career Stats,Ireland,Right hand Bat,Batting Allrounder,Right arm Offbreak,Batting Allrounder
3729,Andy Balbirnie Career Stats,Ireland,Right hand Bat,Occasional Wicketkeeper,Right arm Offbreak,Occasional Wicketkeeper
3765,Lorcan Tucker Career Stats,Ireland,Right hand Bat,Wicketkeeper Batter,Wicketkeeper,Wicketkeeper Batter
3801,Harry Tector Career Stats,Ireland,Right hand Bat,Middle order Batter,Right arm Offbreak,Middle order Batter
3837,Curtis Campher Career Stats,Ireland,Right hand Bat,Allrounder,Right arm Medium fast,Allrounder
3873,George Dockrell Career Stats,Ireland,Right hand Bat,Allrounder,Slow Left arm Orthodox,Allrounder
3909,Gareth Delany Career Stats,Ireland,Right hand Bat,Batting Allrounder,Legbreak Googly,Batting Allrounder
3934,Mark Adair Career Stats,Ireland,Sparky,Right arm Fast medium,Right hand Bat,Right arm Fast medium
3970,Barry McCarthy Career Stats,Ireland,Right hand Bat,Bowler,Right arm Fast medium,Bowler
