Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10w,player_name,player_country,batsman_bowling_style,batsman_playing_role
List A,137,135,7305,5779,211,7/36,7/36,27.38,4.74,34.6,2,4,0,Josh Hazlewood Career Stats,Australia,Right arm Fast medium,Bowler
T20s,96,96,2160,2735,127,4/12,4/12,21.53,7.59,17.0,5,0,0,Josh Hazlewood Career Stats,Australia,Right arm Fast medium,Bowler
Tests,83,158,16446,9292,338,6/50,11/94,27.49,3.39,48.6,18,14,2,Mitchell Starc Career Stats,Australia,Left arm Fast,Bowler
ODIs,121,121,6240,5420,236,6/28,6/28,22.96,5.21,26.4,12,9,0,Mitchell Starc Career Stats,Australia,Left arm Fast,Bowler
T20Is,58,58,1314,1673,73,4/20,4/20,22.91,7.63,18.0,1,0,0,Mitchell Starc Career Stats,Australia,Left arm Fast,Bowler
FC,134,246,24748,13787,514,8/73,11/94,26.82,3.34,48.1,27,21,4,Mitchell Starc Career Stats,Australia,Left arm Fast,Bowler
List A,152,152,7928,6758,312,6/25,6/25,21.66,5.11,25.4,16,12,0,Mitchell Starc Career Stats,Australia,Left arm Fast,Bowler
T20s,121,120,2673,3322,170,4/15,4/15,19.54,7.45,15.7,2,0,0,Mitchell Starc Career Stats,Australia,Left arm Fast,Bowler
Tests,5,10,1006,468,9,3/46,5/101,52.0,2.79,111.7,0,0,0,Ashton Agar Career Stats,Australia,Slow Left arm Orthodox,Bowler
ODIs,22,22,1098,958,21,2/31,2/31,45.61,5.23,52.2,0,0,0,Ashton Agar Career Stats,Australia,Slow Left arm Orthodox,Bowler
T20Is,47,47,994,1073,48,6/30,6/30,22.35,6.47,20.7,0,2,0,Ashton Agar Career Stats,Australia,Slow Left arm Orthodox,Bowler
FC,64,113,13042,6628,157,6/110,10/141,42.21,3.04,83.0,3,6,2,Ashton Agar Career Stats,Australia,Slow Left arm Orthodox,Bowler
List A,69,68,3401,2901,84,5/39,5/39,34.53,5.11,40.4,0,2,0,Ashton Agar Career Stats,Australia,Slow Left arm Orthodox,Bowler
T20s,142,134,2718,3211,118,6/30,6/30,27.21,7.08,23.0,0,2,0,Ashton Agar Career Stats,Australia,Slow Left arm Orthodox,Bowler
ODIs,4,3,152,136,2,1/33,1/33,68.0,5.36,76.0,0,0,0,Binura Fernando Career Stats,Lanka,Left arm Medium fast,Bowler
T20Is,12,12,241,324,12,2/12,2/12,27.0,8.06,20.0,0,0,0,Binura Fernando Career Stats,Lanka,Left arm Medium fast,Bowler
FC,29,45,3065,1716,70,9/70,10/98,24.51,3.35,43.7,3,2,1,Binura Fernando Career Stats,Lanka,Left arm Medium fast,Bowler
List A,51,50,2170,1663,68,6/28,6/28,24.45,4.59,31.9,0,1,0,Binura Fernando Career Stats,Lanka,Left arm Medium fast,Bowler
T20s,82,81,1686,1958,104,4/22,4/22,18.82,6.96,16.2,2,0,0,Binura Fernando Career Stats,Lanka,Left arm Medium fast,Bowler
ODIs,34,34,1693,1336,60,5/30,5/30,22.26,4.73,28.2,2,2,0,Ruben Trumpelmann Career Stats,Namibia,Left arm Fast,Bowler
T20Is,19,16,325,359,12,3/17,3/17,29.91,6.62,27.0,0,0,0,Ruben Trumpelmann Career Stats,Namibia,Left arm Fast,Bowler
FC,17,27,1944,1015,41,4/27,5/44,24.75,3.13,47.4,1,0,0,Ruben Trumpelmann Career Stats,Namibia,Left arm Fast,Bowler
List A,47,47,2338,1835,73,5/30,5/30,25.13,4.7,32.0,2,2,0,Ruben Trumpelmann Career Stats,Namibia,Left arm Fast,Bowler
T20s,24,21,433,489,17,3/17,3/17,28.76,6.77,25.4,0,0,0,Ruben Trumpelmann Career Stats,Namibia,Left arm Fast,Bowler
ODIs,41,41,2081,1181,56,5/22,5/22,21.08,3.4,37.1,1,1,0,Bernard Scholtz Career Stats,Namibia,Slow Left arm Orthodox,Bowler
T20Is,49,49,1012,968,54,4/12,4/12,17.92,5.73,18.7,1,0,0,Bernard Scholtz Career Stats,Namibia,Slow Left arm Orthodox,Bowler
FC,102,143,13396,7796,235,8/33,13/182,33.17,3.49,57.0,9,15,2,Bernard Scholtz Career Stats,Namibia,Slow Left arm Orthodox,Bowler
List A,157,150,6771,4550,169,5/22,5/22,26.92,4.03,40.0,4,1,0,Bernard Scholtz Career Stats,Namibia,Slow Left arm Orthodox,Bowler
T20s,131,124,2495,2557,137,4/11,4/11,18.66,6.14,18.2,4,0,0,Bernard Scholtz Career Stats,Namibia,Slow Left arm Orthodox,Bowler
ODIs,14,14,522,540,16,3/42,3/42,33.75,6.2,32.6,0,0,0,Ben Shikongo Career Stats,Namibia,Right arm Medium fast,Bowler
T20Is,26,25,346,396,20,2/4,2/4,19.8,6.86,17.3,0,0,0,Ben Shikongo Career Stats,Namibia,Right arm Medium fast,Bowler
FC,2,2,210,137,4,3/87,3/87,34.25,3.91,52.5,0,0,0,Ben Shikongo Career Stats,Namibia,Right arm Medium fast,Bowler
List A,21,21,778,805,23,3/42,3/42,35.0,6.2,33.8,0,0,0,Ben Shikongo Career Stats,Namibia,Right arm Medium fast,Bowler
T20s,33,32,477,608,29,3/14,3/14,20.96,7.64,16.4,0,0,0,Ben Shikongo Career Stats,Namibia,Right arm Medium fast,Bowler
ODIs,8,8,324,195,12,5/24,5/24,16.25,3.61,27.0,0,1,0,Timm van der Gugten Career Stats,Netherlands,Right arm Fast medium,Bowler
T20Is,42,41,767,939,42,3/9,3/9,22.35,7.34,18.2,0,0,0,Timm van der Gugten Career Stats,Netherlands,Right arm Fast medium,Bowler
FC,80,128,13647,7137,255,7/42,10/121,27.98,3.13,53.5,11,13,1,Timm van der Gugten Career Stats,Netherlands,Right arm Fast medium,Bowler
List A,67,66,3040,2708,78,5/24,5/24,34.71,5.34,38.9,2,1,0,Timm van der Gugten Career Stats,Netherlands,Right arm Fast medium,Bowler
T20s,120,116,2198,3050,133,5/21,5/21,22.93,8.32,16.5,4,1,0,Timm van der Gugten Career Stats,Netherlands,Right arm Fast medium,Bowler
ODIs,59,59,2750,2311,89,6/34,6/34,25.96,5.04,30.8,2,1,0,Zahoor Khan Career Stats,U.A.E.,Right arm Medium fast,Bowler
T20Is,57,57,1239,1406,72,4/16,4/16,19.52,6.8,17.2,2,0,0,Zahoor Khan Career Stats,U.A.E.,Right arm Medium fast,Bowler
FC,30,55,5541,3030,113,7/86,12/117,26.81,3.28,49.0,4,6,1,Zahoor Khan Career Stats,U.A.E.,Right arm Medium fast,Bowler
List A,77,77,3544,3039,111,6/34,6/34,27.37,5.14,31.9,3,1,0,Zahoor Khan Career Stats,U.A.E.,Right arm Medium fast,Bowler
T20s,70,70,1485,1759,83,4/16,4/16,21.19,7.1,17.8,2,0,0,Zahoor Khan Career Stats,U.A.E.,Right arm Medium fast,Bowler
ODIs,16,12,318,280,6,3/38,3/38,46.66,5.28,53.0,0,0,0,Aryan Lakra Career Stats,U.A.E.,Slow Left arm Orthodox,Bowler
T20Is,5,2,36,38,2,1/14,1/14,19.0,6.33,18.0,0,0,0,Aryan Lakra Career Stats,U.A.E.,Slow Left arm Orthodox,Bowler
List A,16,12,318,280,6,3/38,3/38,46.66,5.28,53.0,0,0,0,Aryan Lakra Career Stats,U.A.E.,Slow Left arm Orthodox,Bowler
T20s,5,2,36,38,2,1/14,1/14,19.0,6.33,18.0,0,0,0,Aryan Lakra Career Stats,U.A.E.,Slow Left arm Orthodox,Bowler
Tests,30,56,5132,3011,85,5/81,7/111,35.42,3.52,60.3,0,1,0,Alzarri Joseph Career Stats,Indies,Right arm Fast,Bowler
ODIs,66,65,3392,3054,108,5/56,5/56,28.27,5.4,31.4,4,1,0,Alzarri Joseph Career Stats,Indies,Right arm Fast,Bowler
T20Is,19,19,435,636,32,5/40,5/40,19.87,8.77,13.5,1,1,0,Alzarri Joseph Career Stats,Indies,Right arm Fast,Bowler
FC,64,108,10045,5744,199,7/46,8/62,28.86,3.43,50.4,6,8,0,Alzarri Joseph Career Stats,Indies,Right arm Fast,Bowler
List A,88,86,4381,3883,146,6/31,6/31,26.59,5.31,30.0,4,2,0,Alzarri Joseph Career Stats,Indies,Right arm Fast,Bowler
T20s,101,98,2104,2982,121,6/12,6/12,24.64,8.5,17.3,3,2,0,Alzarri Joseph Career Stats,Indies,Right arm Fast,Bowler
ODIs,2,2,84,109,4,2/38,2/38,27.25,7.78,21.0,0,0,0,Obed McCoy Career Stats,Indies,Left arm Fast medium,Bowler
T20Is,31,30,621,876,41,6/17,6/17,21.36,8.46,15.1,2,1,0,Obed McCoy Career Stats,Indies,Left arm Fast medium,Bowler
FC,4,7,414,278,6,3/56,4/64,46.33,4.02,69.0,0,0,0,Obed McCoy Career Stats,Indies,Left arm Fast medium,Bowler
List A,20,19,623,594,19,2/28,2/28,31.26,5.72,32.7,0,0,0,Obed McCoy Career Stats,Indies,Left arm Fast medium,Bowler
T20s,85,84,1703,2465,112,6/17,6/17,22.0,8.68,15.2,4,2,0,Obed McCoy Career Stats,Indies,Left arm Fast medium,Bowler
ODIs,19,-,-,-,-,-,-,-,-,-,-,-,-,Phil Salt Career Stats,England,Right arm Offbreak,Wicketkeeper
T20Is,21,-,-,-,-,-,-,-,-,-,-,-,-,Phil Salt Career Stats,England,Right arm Offbreak,Wicketkeeper
FC,52,1,54,32,1,1/32,1/32,32.00,3.55,54.0,0,0,0,Phil Salt Career Stats,England,Right arm Offbreak,Wicketkeeper
List A,35,-,-,-,-,-,-,-,-,-,-,-,-,Phil Salt Career Stats,England,Right arm Offbreak,Wicketkeeper
T20s,216,-,-,-,-,-,-,-,-,-,-,-,-,Phil Salt Career Stats,England,Right arm Offbreak,Wicketkeeper
ODIs,7,1,6,10,0,-,-,-,10.0,-,0,0,0,Tony Munyonga Career Stats,Zimbabwe,Right arm Offbreak,Allrounder
T20Is,14,1,6,3,0,-,-,-,3.0,-,0,0,0,Tony Munyonga Career Stats,Zimbabwe,Right arm Offbreak,Allrounder
FC,34,38,2122,1258,32,5/99,5/99,39.31,3.55,66.3,2,1,0,Tony Munyonga Career Stats,Zimbabwe,Right arm Offbreak,Allrounder
List A,45,31,1099,918,31,4/9,4/9,29.61,5.01,35.4,1,0,0,Tony Munyonga Career Stats,Zimbabwe,Right arm Offbreak,Allrounder
T20s,36,13,170,220,2,1/8,1/8,110.00,7.76,85.0,0,0,0,Tony Munyonga Career Stats,Zimbabwe,Right arm Offbreak,Allrounder
Tests,4,-,-,-,-,-,-,-,-,-,-,-,-,Heinrich Klaasen Career Stats,Africa,Right arm Offbreak,Wicketkeeper
ODIs,54,2,30,33,0,-,-,-,6.60,-,0,0,0,Heinrich Klaasen Career Stats,Africa,Right arm Offbreak,Wicketkeeper
T20Is,43,1,6,14,0,-,-,-,14.00,-,0,0,0,Heinrich Klaasen Career Stats,Africa,Right arm Offbreak,Wicketkeeper
FC,85,3,88,50,2,1/12,1/12,25.00,3.40,44.0,0,0,0,Heinrich Klaasen Career Stats,Africa,Right arm Offbreak,Wicketkeeper
List A,125,10,210,200,6,2/38,2/38,33.33,5.71,35.0,0,0,0,Heinrich Klaasen Career Stats,Africa,Right arm Offbreak,Wicketkeeper
T20s,165,5,42,68,1,1/12,1/12,68.00,9.71,42.0,0,0,0,Heinrich Klaasen Career Stats,Africa,Right arm Offbreak,Wicketkeeper
T20Is,5,-,-,-,-,-,-,-,-,-,-,-,-,Darwish Rasooli Career Stats,Afghanistan,Right arm Offbreak,Top order Batter
FC,23,5,71,57,3,2/10,2/10,19.00,4.81,23.6,0,0,0,Darwish Rasooli Career Stats,Afghanistan,Right arm Offbreak,Top order Batter
List A,49,-,-,-,-,-,-,-,-,-,-,-,-,Darwish Rasooli Career Stats,Afghanistan,Right arm Offbreak,Top order Batter
T20s,40,-,-,-,-,-,-,-,-,-,-,-,-,Darwish Rasooli Career Stats,Afghanistan,Right arm Offbreak,Top order Batter
Tests,3,-,-,-,-,-,-,-,-,-,-,-,-,Fakhar Zaman Career Stats,Pakistan,Slow Left arm Orthodox,Opening Batter
ODIs,82,7,135,111,1,1/19,1/19,111.00,4.93,135.0,0,0,0,Fakhar Zaman Career Stats,Pakistan,Slow Left arm Orthodox,Opening Batter
T20Is,76,1,6,12,0,-,-,-,12.00,-,0,0,0,Fakhar Zaman Career Stats,Pakistan,Slow Left arm Orthodox,Opening Batter
FC,53,29,499,226,10,2/2,3/3,22.60,2.71,49.9,0,0,0,Fakhar Zaman Career Stats,Pakistan,Slow Left arm Orthodox,Opening Batter
List A,150,39,882,746,21,5/27,5/27,35.52,5.07,42.0,0,1,0,Fakhar Zaman Career Stats,Pakistan,Slow Left arm Orthodox,Opening Batter
T20s,229,15,146,162,4,1/3,1/3,40.50,6.65,36.5,0,0,0,Fakhar Zaman Career Stats,Pakistan,Slow Left arm Orthodox,Opening Batter
ODIs,31,12,216,221,7,2/12,2/12,31.57,6.13,30.8,0,0,0,Vikramjit Singh Career Stats,Netherlands,Right arm Medium,Opening Batter
T20Is,8,-,-,-,-,-,-,-,-,-,-,-,-,Vikramjit Singh Career Stats,Netherlands,Right arm Medium,Opening Batter
List A,33,14,246,240,8,2/12,2/12,30.00,5.85,30.7,0,0,0,Vikramjit Singh Career Stats,Netherlands,Right arm Medium,Opening Batter
T20s,8,-,-,-,-,-,-,-,-,-,-,-,-,Vikramjit Singh Career Stats,Netherlands,Right arm Medium,Opening Batter
