Format,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10w,player_name,player_country,batsman_bowling_style,batsman_playing_role
T20s,130,48,683,860,31,4/21,4/21,27.74,7.55,22.0,1,0,0,Danushka Gunathilaka Career Stats,Lanka,Left hand Bat,Right arm Offbreak
Tests,20,31,3317,1980,42,6/46,7/121,47.14,3.58,78.9,2,1,0,Ebadot Hossain Career Stats,Bangladesh,Right arm Fast medium,Bowler
ODIs,12,11,540,504,22,4/42,4/42,22.9,5.6,24.5,2,0,0,Ebadot Hossain Career Stats,Bangladesh,Right arm Fast medium,Bowler
T20Is,4,4,91,140,7,3/51,3/51,20.0,9.23,13.0,0,0,0,Ebadot Hossain Career Stats,Bangladesh,Right arm Fast medium,Bowler
FC,50,82,8059,4430,138,6/46,10/139,32.1,3.29,58.3,5,4,1,Ebadot Hossain Career Stats,Bangladesh,Right arm Fast medium,Bowler
List A,32,31,1485,1327,49,4/41,4/41,27.08,5.36,30.3,4,0,0,Ebadot Hossain Career Stats,Bangladesh,Right arm Fast medium,Bowler
T20s,53,53,1114,1519,52,4/17,4/17,29.21,8.18,21.4,1,0,0,Ebadot Hossain Career Stats,Bangladesh,Right arm Fast medium,Bowler
ODIs,13,13,687,508,23,3/34,3/34,22.08,4.43,29.8,0,0,0,Brad Wheal Career Stats,Scotland,Right arm Fast medium,Bowler
T20Is,17,17,356,487,17,3/20,3/20,28.64,8.2,20.9,0,0,0,Brad Wheal Career Stats,Scotland,Right arm Fast medium,Bowler
FC,46,77,6278,3668,109,6/51,7/71,33.65,3.5,57.5,6,1,0,Brad Wheal Career Stats,Scotland,Right arm Fast medium,Bowler
List A,32,32,1493,1301,55,5/47,5/47,23.65,5.22,27.1,2,1,0,Brad Wheal Career Stats,Scotland,Right arm Fast medium,Bowler
T20s,56,55,1111,1540,72,5/38,5/38,21.38,8.31,15.4,1,1,0,Brad Wheal Career Stats,Scotland,Right arm Fast medium,Bowler
ODIs,77,76,3625,3014,100,5/33,5/33,30.14,4.98,36.2,3,2,0,Safyaan Sharif Career Stats,Scotland,Right arm Medium fast,Bowler
T20Is,63,62,1285,1730,72,4/24,4/24,24.02,8.07,17.8,2,0,0,Safyaan Sharif Career Stats,Scotland,Right arm Medium fast,Bowler
FC,9,14,1213,654,18,4/94,5/88,36.33,3.23,67.3,1,0,0,Safyaan Sharif Career Stats,Scotland,Right arm Medium fast,Bowler
List A,106,105,4912,4147,139,5/33,5/33,29.83,5.06,35.3,4,2,0,Safyaan Sharif Career Stats,Scotland,Right arm Medium fast,Bowler
T20s,86,85,1734,2247,98,4/24,4/24,22.92,7.77,17.6,2,0,0,Safyaan Sharif Career Stats,Scotland,Right arm Medium fast,Bowler
ODIs,61,60,3190,2192,89,5/33,5/33,24.62,4.12,35.8,3,1,0,Mark Watt Career Stats,Scotland,Slow Left arm Orthodox,Bowler
T20Is,58,56,1218,1407,69,5/27,5/27,20.39,6.93,17.6,1,1,0,Mark Watt Career Stats,Scotland,Slow Left arm Orthodox,Bowler
FC,12,19,2238,1137,32,5/83,9/157,35.53,3.04,69.9,1,1,0,Mark Watt Career Stats,Scotland,Slow Left arm Orthodox,Bowler
List A,89,86,4479,3314,109,5/33,5/33,30.4,4.43,41.0,3,1,0,Mark Watt Career Stats,Scotland,Slow Left arm Orthodox,Bowler
T20s,94,92,1979,2499,93,5/27,5/27,26.87,7.57,21.2,2,1,0,Mark Watt Career Stats,Scotland,Slow Left arm Orthodox,Bowler
ODIs,53,53,2801,1924,64,5/26,5/26,30.06,4.12,43.7,1,1,0,Ahmed Raza Career Stats,U.A.E.,Slow Left arm Orthodox,Bowler
T20Is,55,54,1068,1178,37,5/19,5/19,31.83,6.61,28.8,0,1,0,Ahmed Raza Career Stats,U.A.E.,Slow Left arm Orthodox,Bowler
FC,20,34,4126,1741,67,7/37,8/106,25.98,2.53,61.5,1,5,0,Ahmed Raza Career Stats,U.A.E.,Slow Left arm Orthodox,Bowler
List A,107,107,5454,3597,143,5/26,5/26,25.15,3.95,38.1,3,2,0,Ahmed Raza Career Stats,U.A.E.,Slow Left arm Orthodox,Bowler
T20s,70,69,1357,1451,50,5/19,5/19,29.02,6.41,27.1,0,1,0,Ahmed Raza Career Stats,U.A.E.,Slow Left arm Orthodox,Bowler
