Format,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,4s,6s,Ct,St,player_name,player_country,batsman_batting_style,batsman_playing_role
Tests,12,20,1,1181,186,62.15,1287,91.76,4,7,141,23,9,0,Harry Brook Career Stats,England,Right hand Bat,Batter
ODIs,15,15,1,407,80,29.07,429,94.87,0,3,39,13,2,0,Harry Brook Career Stats,England,Right hand Bat,Batter
T20Is,29,26,6,544,81*,27.2,376,144.68,0,2,40,27,18,0,Harry Brook Career Stats,England,Right hand Bat,Batter
FC,68,110,6,4248,194,40.84,6023,70.52,11,24,546,49,53,0,Harry Brook Career Stats,England,Right hand Bat,Batter
List A,30,27,2,750,103,30.0,774,96.89,1,4,79,15,6,0,Harry Brook Career Stats,England,Right hand Bat,Batter
T20s,127,120,28,3032,105*,32.95,2020,150.09,3,11,253,132,78,0,Harry Brook Career Stats,England,Right hand Bat,Batter
Tests,97,175,7,6117,258,36.41,10335,59.18,13,30,716,124,102,0,Ben Stokes Career Stats,England,Left hand Bat,Allrounder
ODIs,114,99,15,3463,182,41.22,3619,95.68,5,24,282,109,55,0,Ben Stokes Career Stats,England,Left hand Bat,Allrounder
T20Is,43,36,9,585,52*,21.66,457,128.00,0,1,42,22,22,0,Ben Stokes Career Stats,England,Left hand Bat,Allrounder
FC,177,301,15,10194,258,35.64,-,-,22,50,-,-,144,0,Ben Stokes Career Stats,England,Left hand Bat,Allrounder
List A,184,162,24,5303,182,38.42,5457,97.17,9,30,453,166,85,0,Ben Stokes Career Stats,England,Left hand Bat,Allrounder
T20s,159,145,23,3023,107*,24.77,2269,133.23,2,10,246,123,74,0,Ben Stokes Career Stats,England,Left hand Bat,Allrounder
Tests,24,38,5,815,78,24.69,1271,64.12,0,3,96,21,5,0,Sam Curran Career Stats,England,Left hand Bat,Allrounder
ODIs,32,24,3,468,95*,22.28,489,95.7,0,1,28,21,9,0,Sam Curran Career Stats,England,Left hand Bat,Allrounder
T20Is,46,28,8,260,50,13.0,219,118.72,0,1,15,12,19,0,Sam Curran Career Stats,England,Left hand Bat,Allrounder
FC,80,122,14,3250,126,30.09,5146,63.15,1,23,435,55,26,0,Sam Curran Career Stats,England,Left hand Bat,Allrounder
List A,81,56,8,1048,95*,21.83,1169,89.64,0,2,84,27,29,0,Sam Curran Career Stats,England,Left hand Bat,Allrounder
T20s,204,163,30,2699,72*,20.29,2020,133.61,0,15,201,130,76,0,Sam Curran Career Stats,England,Left hand Bat,Allrounder
Tests,22,39,0,1074,140,27.53,2622,40.96,1,9,146,1,13,0,Dawid Malan Career Stats,England,AC,Legbreak
ODIs,30,30,4,1450,140,55.76,1488,97.44,6,7,150,32,11,0,Dawid Malan Career Stats,England,AC,Legbreak
T20Is,62,60,8,1892,103*,36.38,1428,132.49,1,16,194,62,22,0,Dawid Malan Career Stats,England,AC,Legbreak
FC,212,363,21,13201,219,38.59,24672,53.5,30,68,1779,37,205,0,Dawid Malan Career Stats,England,AC,Legbreak
List A,178,174,25,6561,185*,44.03,7588,86.46,16,32,683,94,62,0,Dawid Malan Career Stats,England,AC,Legbreak
T20s,316,309,46,8667,117,32.95,6680,129.74,5,56,861,272,112,0,Dawid Malan Career Stats,England,AC,Legbreak
ODIs,35,35,1,1238,151,36.41,1407,87.98,5,4,114,45,21,2,Rahmanullah Gurbaz Career Stats,Afghanistan,Right hand Bat,Wicketkeeper Batter
T20Is,43,43,0,1043,87,24.25,775,134.58,0,5,82,61,22,2,Rahmanullah Gurbaz Career Stats,Afghanistan,Right hand Bat,Wicketkeeper Batter
FC,12,19,0,941,153,49.52,1300,72.38,1,7,109,32,16,5,Rahmanullah Gurbaz Career Stats,Afghanistan,Right hand Bat,Wicketkeeper Batter
List A,64,60,5,2042,151,37.12,2202,92.73,7,7,190,78,51,7,Rahmanullah Gurbaz Career Stats,Afghanistan,Right hand Bat,Wicketkeeper Batter
T20s,146,145,3,3506,121*,24.69,2365,148.24,1,22,290,226,77,11,Rahmanullah Gurbaz Career Stats,Afghanistan,Right hand Bat,Wicketkeeper Batter
ODIs,17,17,0,435,118,25.58,578,75.25,1,2,39,10,3,0,Usman Ghani Career Stats,Afghanistan,Right hand Bat,NotAvailable
T20Is,35,34,3,786,73,25.35,733,107.23,0,4,76,21,15,0,Usman Ghani Career Stats,Afghanistan,Right hand Bat,NotAvailable
FC,20,37,0,1456,117,39.35,1978,73.6,2,9,203,21,26,1,Usman Ghani Career Stats,Afghanistan,Right hand Bat,NotAvailable
List A,48,47,2,1340,136,29.77,1623,82.56,3,5,129,46,13,0,Usman Ghani Career Stats,Afghanistan,Right hand Bat,NotAvailable
T20s,76,75,8,2141,79,31.95,1819,117.7,0,14,220,62,33,0,Usman Ghani Career Stats,Afghanistan,Right hand Bat,NotAvailable
Tests,5,10,0,362,87,36.2,787,45.99,0,3,42,4,10,0,Ibrahim Zadran Career Stats,Afghanistan,Right hand Bat,Opening Batter
ODIs,28,28,3,1287,162,51.48,1573,81.81,5,5,132,18,9,0,Ibrahim Zadran Career Stats,Afghanistan,Right hand Bat,Opening Batter
T20Is,24,24,4,530,64*,26.5,516,102.71,0,2,41,13,6,0,Ibrahim Zadran Career Stats,Afghanistan,Right hand Bat,Opening Batter
FC,19,33,3,1162,105,38.73,2033,57.15,2,7,128,25,25,0,Ibrahim Zadran Career Stats,Afghanistan,Right hand Bat,Opening Batter
List A,55,54,8,2246,162,48.82,2813,79.84,8,8,219,40,23,0,Ibrahim Zadran Career Stats,Afghanistan,Right hand Bat,Opening Batter
T20s,61,56,11,1467,96*,32.6,1226,119.65,0,9,117,52,25,0,Ibrahim Zadran Career Stats,Afghanistan,Right hand Bat,Opening Batter
ODIs,92,84,13,2060,104*,29.01,2312,89.1,1,15,178,68,40,0,Najibullah Zadran Career Stats,Afghanistan,Left hand Bat,Middle order Batter
T20Is,94,84,30,1712,73,31.7,1225,139.75,0,8,115,91,42,0,Najibullah Zadran Career Stats,Afghanistan,Left hand Bat,Middle order Batter
FC,5,10,0,306,99,30.6,371,82.47,0,3,43,6,5,0,Najibullah Zadran Career Stats,Afghanistan,Left hand Bat,Middle order Batter
List A,120,111,17,2894,104*,30.78,3064,94.45,1,23,246,116,55,0,Najibullah Zadran Career Stats,Afghanistan,Left hand Bat,Middle order Batter
T20s,198,178,45,3628,97*,27.27,2634,137.73,0,18,250,199,80,0,Najibullah Zadran Career Stats,Afghanistan,Left hand Bat,Middle order Batter
ODIs,79,68,8,1207,82*,20.11,1625,74.27,0,5,99,29,22,0,Gulbadin Naib Career Stats,Afghanistan,Gulbadeen Naib,Right arm Medium fast
T20Is,60,50,15,675,56*,19.28,563,119.89,0,1,47,33,23,0,Gulbadin Naib Career Stats,Afghanistan,Gulbadeen Naib,Right arm Medium fast
FC,5,7,1,313,88*,52.16,379,82.58,0,3,39,6,6,0,Gulbadin Naib Career Stats,Afghanistan,Gulbadeen Naib,Right arm Medium fast
List A,122,105,14,2172,100,23.86,2640,82.27,1,9,175,65,35,0,Gulbadin Naib Career Stats,Afghanistan,Gulbadeen Naib,Right arm Medium fast
T20s,118,100,30,1466,91,20.94,1112,131.83,0,5,102,75,45,0,Gulbadin Naib Career Stats,Afghanistan,Gulbadeen Naib,Right arm Medium fast
Tests,3,6,0,33,24,5.5,68,48.52,0,0,4,1,2,0,Mohammad Nabi Career Stats,Afghanistan,Right hand Bat,Allrounder
ODIs,156,137,15,3208,116,26.29,3735,85.89,1,16,208,99,69,0,Mohammad Nabi Career Stats,Afghanistan,Right hand Bat,Allrounder
T20Is,109,101,19,1825,89,22.25,1323,137.94,0,5,125,93,56,0,Mohammad Nabi Career Stats,Afghanistan,Right hand Bat,Allrounder
FC,35,57,4,1284,117,24.22,2483,51.71,2,5,136,41,20,0,Mohammad Nabi Career Stats,Afghanistan,Right hand Bat,Allrounder
List A,191,170,18,4212,146,27.71,4765,88.39,3,19,277,140,85,0,Mohammad Nabi Career Stats,Afghanistan,Right hand Bat,Allrounder
T20s,366,309,60,5370,89,21.56,3925,136.81,0,15,372,263,166,0,Mohammad Nabi Career Stats,Afghanistan,Right hand Bat,Allrounder
Tests,5,7,0,106,51,15.14,133,79.69,0,1,11,4,0,0,Rashid Khan Career Stats,Afghanistan,Right hand Bat,Bowling Allrounder
ODIs,103,81,14,1316,60*,19.64,1250,105.28,0,5,112,48,33,0,Rashid Khan Career Stats,Afghanistan,Right hand Bat,Bowling Allrounder
T20Is,82,46,21,370,48*,14.8,286,129.37,0,0,23,23,32,0,Rashid Khan Career Stats,Afghanistan,Right hand Bat,Bowling Allrounder
FC,9,11,1,231,52,23.1,300,77.0,0,2,29,4,0,0,Rashid Khan Career Stats,Afghanistan,Right hand Bat,Bowling Allrounder
List A,105,82,14,1337,60*,19.66,1264,105.77,0,5,117,48,34,0,Rashid Khan Career Stats,Afghanistan,Right hand Bat,Bowling Allrounder
T20s,410,238,79,2071,79*,13.02,1426,145.23,0,2,149,134,136,0,Rashid Khan Career Stats,Afghanistan,Right hand Bat,Bowling Allrounder
ODIs,22,16,5,490,97*,44.54,538,91.07,0,4,39,17,3,0,Azmatullah Omarzai Career Stats,Afghanistan,Right hand Bat,Allrounder
T20Is,24,14,3,185,33,16.81,165,112.12,0,0,13,8,8,0,Azmatullah Omarzai Career Stats,Afghanistan,Right hand Bat,Allrounder
FC,5,6,3,149,40*,49.66,262,56.87,0,0,21,3,1,0,Azmatullah Omarzai Career Stats,Afghanistan,Right hand Bat,Allrounder
List A,54,41,13,1206,97*,43.07,1160,103.96,0,8,85,52,18,0,Azmatullah Omarzai Career Stats,Afghanistan,Right hand Bat,Allrounder
T20s,62,40,14,588,62*,22.61,454,129.51,0,1,41,29,19,0,Azmatullah Omarzai Career Stats,Afghanistan,Right hand Bat,Allrounder
Tests,1,2,0,18,15,9.0,17,105.88,0,0,2,1,0,0,Mujeeb Ur Rahman Career Stats,Afghanistan,Mujeeb Zadran,Right arm Offbreak
ODIs,75,40,14,236,64,9.07,262,90.07,0,1,25,9,11,0,Mujeeb Ur Rahman Career Stats,Afghanistan,Mujeeb Zadran,Right arm Offbreak
T20Is,43,12,7,33,18,6.6,35,94.28,0,0,4,1,7,0,Mujeeb Ur Rahman Career Stats,Afghanistan,Mujeeb Zadran,Right arm Offbreak
FC,1,2,0,18,15,9.0,17,105.88,0,0,2,1,0,0,Mujeeb Ur Rahman Career Stats,Afghanistan,Mujeeb Zadran,Right arm Offbreak
List A,90,49,19,290,64,9.66,338,85.79,0,1,29,11,14,0,Mujeeb Ur Rahman Career Stats,Afghanistan,Mujeeb Zadran,Right arm Offbreak
T20s,231,73,35,278,27,7.31,281,98.93,0,0,22,10,46,0,Mujeeb Ur Rahman Career Stats,Afghanistan,Mujeeb Zadran,Right arm Offbreak
Tests,5,10,0,278,62,27.8,618,44.98,0,2,30,1,7,0,Aaron Finch Career Stats,Australia,Finchy,Slow Left arm Orthodox
ODIs,146,142,3,5406,153*,38.89,6162,87.73,17,30,532,129,71,0,Aaron Finch Career Stats,Australia,Finchy,Slow Left arm Orthodox
T20Is,103,103,12,3120,172,34.28,2189,142.53,2,19,309,125,50,0,Aaron Finch Career Stats,Australia,Finchy,Slow Left arm Orthodox
FC,88,143,6,4915,288*,35.87,7979,61.59,7,33,561,73,81,0,Aaron Finch Career Stats,Australia,Finchy,Slow Left arm Orthodox
List A,233,229,9,8771,188*,39.86,10004,87.67,23,51,842,224,99,0,Aaron Finch Career Stats,Australia,Finchy,Slow Left arm Orthodox
T20s,386,379,39,11458,172,33.7,8290,138.21,8,77,1095,452,164,0,Aaron Finch Career Stats,Australia,Finchy,Slow Left arm Orthodox
ODIs,4,4,0,45,35,11.25,53,84.9,0,0,3,3,0,0,Tim David Career Stats,Australia,Right hand Bat,Middle order Batter
T20Is,33,30,4,897,92*,34.5,567,158.2,0,6,77,45,20,0,Tim David Career Stats,Australia,Right hand Bat,Middle order Batter
List A,20,18,5,790,140*,60.76,658,120.06,2,5,72,31,12,0,Tim David Career Stats,Australia,Right hand Bat,Middle order Batter
T20s,194,181,51,3970,92*,30.53,2447,162.23,0,15,280,242,110,0,Tim David Career Stats,Australia,Right hand Bat,Middle order Batter
ODIs,10,7,1,153,33,25.5,189,80.95,0,0,10,1,3,0,Deepak Hooda Career Stats,India,Right hand Bat,Allrounder
T20Is,21,17,5,368,104,30.66,250,147.2,1,0,29,18,12,0,Deepak Hooda Career Stats,India,Right hand Bat,Allrounder
FC,48,76,6,3290,293*,47.0,5109,64.39,11,16,369,59,48,0,Deepak Hooda Career Stats,India,Right hand Bat,Allrounder
List A,93,82,10,2890,180,40.13,3049,94.78,6,14,242,78,40,0,Deepak Hooda Career Stats,India,Right hand Bat,Allrounder
T20s,195,165,31,3313,108,24.72,2404,137.81,2,20,226,149,96,0,Deepak Hooda Career Stats,India,Right hand Bat,Allrounder
Tests,21,29,4,552,63*,22.08,1225,45.06,0,3,77,1,8,0,Bhuvneshwar Kumar Career Stats,India,Right hand Bat,Bowler
ODIs,121,55,16,552,53*,14.15,747,73.89,0,1,46,8,29,0,Bhuvneshwar Kumar Career Stats,India,Right hand Bat,Bowler
T20Is,87,21,13,67,16,8.37,94,71.27,0,0,0,0,15,0,Bhuvneshwar Kumar Career Stats,India,Right hand Bat,Bowler
FC,70,101,11,2433,128,27.03,5691,42.75,1,14,314,8,18,0,Bhuvneshwar Kumar Career Stats,India,Right hand Bat,Bowler
List A,173,94,34,1223,72,20.38,-,-,0,3,-,-,42,0,Bhuvneshwar Kumar Career Stats,India,Right hand Bat,Bowler
T20s,270,94,51,447,27,10.39,481,92.93,0,0,32,7,55,0,Bhuvneshwar Kumar Career Stats,India,Right hand Bat,Bowler
Tests,64,89,27,750,56*,12.09,1005,74.62,0,2,83,25,16,0,Mohammed Shami Career Stats,India,Right hand Bat,Bowler
ODIs,101,48,20,220,25,7.85,265,83.01,0,0,17,9,31,0,Mohammed Shami Career Stats,India,Right hand Bat,Bowler
T20Is,23,3,2,0,0*,0.0,2,0.0,0,0,0,0,1,0,Mohammed Shami Career Stats,India,Right hand Bat,Bowler
FC,88,122,36,1049,56*,12.19,1526,68.74,0,2,112,34,22,0,Mohammed Shami Career Stats,India,Right hand Bat,Bowler
List A,132,71,24,400,26,8.51,439,91.11,0,0,33,18,44,0,Mohammed Shami Career Stats,India,Right hand Bat,Bowler
T20s,156,34,17,86,21,5.05,95,90.52,0,0,7,2,30,0,Mohammed Shami Career Stats,India,Right hand Bat,Bowler
ODIs,6,3,1,34,18,17.0,28,121.42,0,0,1,3,0,0,Arshdeep Singh Career Stats,India,Left hand Bat,Bowler
T20Is,42,12,8,34,12,8.5,27,125.92,0,0,3,1,12,0,Arshdeep Singh Career Stats,India,Left hand Bat,Bowler
FC,12,16,5,126,26,11.45,160,78.75,0,0,16,5,6,0,Arshdeep Singh Career Stats,India,Left hand Bat,Bowler
List A,23,8,3,51,18,10.2,52,98.07,0,0,3,3,4,0,Arshdeep Singh Career Stats,India,Left hand Bat,Bowler
T20s,116,25,16,69,12,7.66,72,95.83,0,0,7,1,30,0,Arshdeep Singh Career Stats,India,Left hand Bat,Bowler
ODIs,24,16,3,164,57,12.61,180,91.11,0,1,12,6,8,0,Roelof van der Merwe Career Stats,Netherlands,"Roela, Bulldog",Slow Left arm Orthodox
T20Is,52,36,14,465,75*,21.13,365,127.39,0,2,37,13,22,0,Roelof van der Merwe Career Stats,Netherlands,"Roela, Bulldog",Slow Left arm Orthodox
FC,80,128,16,3588,205*,32.03,5163,69.49,6,22,409,51,61,0,Roelof van der Merwe Career Stats,Netherlands,"Roela, Bulldog",Slow Left arm Orthodox
List A,196,160,44,2969,165*,25.59,3017,98.4,1,11,236,82,83,0,Roelof van der Merwe Career Stats,Netherlands,"Roela, Bulldog",Slow Left arm Orthodox
T20s,321,219,81,2951,89*,21.38,2234,132.09,0,10,252,107,138,0,Roelof van der Merwe Career Stats,Netherlands,"Roela, Bulldog",Slow Left arm Orthodox
ODIs,4,4,0,6,6,1.5,14,42.85,0,0,0,0,0,0,Tim Pringle Career Stats,Netherlands,Right hand Bat,Allrounder
T20Is,13,9,1,66,20,8.25,79,83.54,0,0,2,1,5,0,Tim Pringle Career Stats,Netherlands,Right hand Bat,Allrounder
FC,4,6,1,74,27,14.8,136,54.41,0,0,3,5,3,0,Tim Pringle Career Stats,Netherlands,Right hand Bat,Allrounder
List A,17,12,4,98,27,12.25,133,73.68,0,0,8,3,3,0,Tim Pringle Career Stats,Netherlands,Right hand Bat,Allrounder
T20s,23,12,2,87,20,8.7,94,92.55,0,0,2,3,6,0,Tim Pringle Career Stats,Netherlands,Right hand Bat,Allrounder
ODIs,33,32,10,477,59,21.68,596,80.03,0,1,31,12,17,0,Logan van Beek Career Stats,Netherlands,Right hand Bat,Bowler
T20Is,23,13,5,58,19*,7.25,76,76.31,0,0,0,1,11,0,Logan van Beek Career Stats,Netherlands,Right hand Bat,Bowler
FC,72,100,20,1842,111*,23.02,3512,52.44,1,8,223,26,48,0,Logan van Beek Career Stats,Netherlands,Right hand Bat,Bowler
List A,136,105,26,1406,64*,17.79,1674,83.99,0,4,95,36,73,0,Logan van Beek Career Stats,Netherlands,Right hand Bat,Bowler
T20s,145,78,28,681,61*,13.62,529,128.73,0,2,49,23,69,0,Logan van Beek Career Stats,Netherlands,Right hand Bat,Bowler
ODIs,19,15,7,68,13,8.5,116,58.62,0,0,2,1,5,0,Fred Klaassen Career Stats,Netherlands,Right hand Bat,Bowler
T20Is,37,15,5,45,13,4.5,53,84.9,0,0,2,0,16,0,Fred Klaassen Career Stats,Netherlands,Right hand Bat,Bowler
FC,5,8,3,45,14*,9.0,258,17.44,0,0,5,0,3,0,Fred Klaassen Career Stats,Netherlands,Right hand Bat,Bowler
List A,36,27,14,125,16*,9.61,200,62.5,0,0,5,2,14,0,Fred Klaassen Career Stats,Netherlands,Right hand Bat,Bowler
T20s,103,29,14,85,13,5.66,90,94.44,0,0,5,0,39,0,Fred Klaassen Career Stats,Netherlands,Right hand Bat,Bowler
ODIs,22,19,8,97,21*,8.81,139,69.78,0,0,6,2,6,0,Paul van Meekeren Career Stats,Netherlands,Right hand Bat,Bowler
T20Is,58,17,3,99,24,7.07,83,119.27,0,0,7,5,20,0,Paul van Meekeren Career Stats,Netherlands,Right hand Bat,Bowler
FC,10,16,3,113,34,8.69,325,34.76,0,0,14,0,3,0,Paul van Meekeren Career Stats,Netherlands,Right hand Bat,Bowler
List A,89,54,26,229,21*,8.17,356,64.32,0,0,15,4,27,0,Paul van Meekeren Career Stats,Netherlands,Right hand Bat,Bowler
T20s,98,37,14,175,24,7.6,166,105.42,0,0,14,7,34,0,Paul van Meekeren Career Stats,Netherlands,Right hand Bat,Bowler
Tests,6,11,1,205,55,20.5,444,46.17,0,1,26,0,5,0,Yasir Ali Career Stats,Bangladesh,Yasir Ali Rabbi,Right hand Bat
ODIs,9,7,0,102,50,14.57,114,89.47,0,1,8,4,3,0,Yasir Ali Career Stats,Bangladesh,Yasir Ali Rabbi,Right hand Bat
T20Is,11,11,3,128,42*,16.0,90,142.22,0,0,12,5,7,0,Yasir Ali Career Stats,Bangladesh,Yasir Ali Rabbi,Right hand Bat
FC,74,121,14,4648,165,43.43,8279,56.14,10,27,493,93,79,0,Yasir Ali Career Stats,Bangladesh,Yasir Ali Rabbi,Right hand Bat
List A,102,92,19,2519,106*,34.5,3017,83.49,2,15,168,78,40,0,Yasir Ali Career Stats,Bangladesh,Yasir Ali Rabbi,Right hand Bat
T20s,88,79,13,1731,78,26.22,1367,126.62,0,9,122,75,40,0,Yasir Ali Career Stats,Bangladesh,Yasir Ali Rabbi,Right hand Bat
Tests,20,29,4,546,65,21.84,1161,47.02,0,4,65,7,11,0,Ish Sodhi Career Stats,Zealand,Right hand Bat,Bowler
ODIs,51,24,4,201,35,10.05,276,72.82,0,0,7,10,11,0,Ish Sodhi Career Stats,Zealand,Right hand Bat,Bowler
T20Is,102,28,11,155,19,9.11,137,113.13,0,0,9,9,31,0,Ish Sodhi Career Stats,Zealand,Right hand Bat,Bowler
FC,94,139,19,2609,82*,21.74,4915,53.08,0,13,322,37,38,0,Ish Sodhi Career Stats,Zealand,Right hand Bat,Bowler
List A,110,57,12,581,48*,12.91,723,80.35,0,0,36,22,24,0,Ish Sodhi Career Stats,Zealand,Right hand Bat,Bowler
T20s,251,77,35,380,51,9.04,351,108.26,0,1,25,17,58,0,Ish Sodhi Career Stats,Zealand,Right hand Bat,Bowler
Tests,1,2,0,7,7,3.5,16,43.75,0,0,1,0,0,0,Brad Evans Career Stats,Zimbabwe,Right hand Bat,Allrounder
ODIs,15,13,3,121,33*,12.1,150,80.66,0,0,9,2,7,0,Brad Evans Career Stats,Zimbabwe,Right hand Bat,Allrounder
T20Is,8,6,2,41,19,10.25,40,102.49,0,0,1,1,1,0,Brad Evans Career Stats,Zimbabwe,Right hand Bat,Allrounder
FC,18,24,3,449,81,21.38,714,62.88,0,2,49,15,11,0,Brad Evans Career Stats,Zimbabwe,Right hand Bat,Allrounder
List A,28,25,6,383,109,20.15,460,83.26,1,0,33,13,12,0,Brad Evans Career Stats,Zimbabwe,Right hand Bat,Allrounder
T20s,23,14,4,104,21*,10.4,99,105.05,0,0,7,2,6,0,Brad Evans Career Stats,Zimbabwe,Right hand Bat,Allrounder
Tests,56,97,12,2997,172,35.25,6206,48.29,2,20,362,7,28,0,Temba Bavuma Career Stats,Africa,Right hand Bat,Middle order Batter
ODIs,38,37,4,1512,144,45.81,1698,89.04,5,4,146,23,26,0,Temba Bavuma Career Stats,Africa,Right hand Bat,Middle order Batter
T20Is,36,35,4,670,72,21.61,567,118.16,0,1,62,16,15,0,Temba Bavuma Career Stats,Africa,Right hand Bat,Middle order Batter
FC,166,281,34,9248,180,37.44,17853,51.8,16,48,1157,40,94,0,Temba Bavuma Career Stats,Africa,Right hand Bat,Middle order Batter
List A,129,115,13,3522,144,34.52,4160,84.66,7,12,301,44,45,0,Temba Bavuma Career Stats,Africa,Right hand Bat,Middle order Batter
T20s,115,105,16,2449,104,27.51,1975,124.0,1,9,209,59,50,0,Temba Bavuma Career Stats,Africa,Right hand Bat,Middle order Batter
Tests,54,91,6,3300,141*,38.82,4652,70.93,6,22,411,33,221,11,Quinton de Kock Career Stats,Africa,Left hand Bat,Wicketkeeper Batter
ODIs,155,155,7,6770,178,45.74,7005,96.64,21,30,771,118,209,17,Quinton de Kock Career Stats,Africa,Left hand Bat,Wicketkeeper Batter
T20Is,80,79,9,2277,100,32.52,1658,137.33,1,14,235,86,76,16,Quinton de Kock Career Stats,Africa,Left hand Bat,Wicketkeeper Batter
FC,84,142,10,5463,194,41.38,7240,75.45,12,36,684,71,323,16,Quinton de Kock Career Stats,Africa,Left hand Bat,Wicketkeeper Batter
List A,196,194,8,8156,178,43.84,8408,97.0,25,36,908,151,247,23,Quinton de Kock Career Stats,Africa,Left hand Bat,Wicketkeeper Batter
T20s,311,301,25,9070,140*,32.86,6553,138.4,6,57,938,352,225,48,Quinton de Kock Career Stats,Africa,Left hand Bat,Wicketkeeper Batter
ODIs,36,35,3,1239,132,38.71,1313,94.36,3,7,131,22,22,0,Rilee Rossouw Career Stats,Africa,Left hand Bat,Top order Batter
T20Is,29,27,5,767,109,34.86,480,159.79,2,3,69,39,13,0,Rilee Rossouw Career Stats,Africa,Left hand Bat,Top order Batter
FC,108,190,10,7363,319,40.9,11523,63.89,19,33,1073,56,119,0,Rilee Rossouw Career Stats,Africa,Left hand Bat,Top order Batter
List A,158,154,8,5818,156,39.84,5995,97.04,12,35,664,79,78,0,Rilee Rossouw Career Stats,Africa,Left hand Bat,Top order Batter
T20s,312,301,43,7933,121,30.74,5477,144.84,6,48,766,322,127,0,Rilee Rossouw Career Stats,Africa,Left hand Bat,Top order Batter
ODIs,1,1,0,6,6,6.0,10,60.0,0,0,0,0,0,0,Tristan Stubbs Career Stats,Africa,Right hand Bat,Wicketkeeper
T20Is,17,13,2,239,72,21.72,154,155.19,0,1,17,15,8,0,Tristan Stubbs Career Stats,Africa,Right hand Bat,Wicketkeeper
FC,15,22,2,892,132,44.6,1486,60.02,4,1,102,15,14,0,Tristan Stubbs Career Stats,Africa,Right hand Bat,Wicketkeeper
List A,26,24,2,1000,159,45.45,1108,90.25,2,6,73,26,16,0,Tristan Stubbs Career Stats,Africa,Right hand Bat,Wicketkeeper
T20s,59,54,9,1119,80*,24.86,760,147.23,0,4,62,68,24,0,Tristan Stubbs Career Stats,Africa,Right hand Bat,Wicketkeeper
Tests,35,64,1,2285,152,36.26,3902,58.55,6,10,335,10,34,0,Aiden Markram Career Stats,Africa,Right hand Bat,Opening Batter
ODIs,68,65,7,2121,175,36.56,2158,98.28,3,10,217,50,28,0,Aiden Markram Career Stats,Africa,Right hand Bat,Opening Batter
T20Is,39,35,6,1118,70,38.55,742,150.67,0,9,98,47,26,0,Aiden Markram Career Stats,Africa,Right hand Bat,Opening Batter
FC,88,152,8,6285,204*,43.64,10694,58.77,18,28,899,47,89,0,Aiden Markram Career Stats,Africa,Right hand Bat,Opening Batter
List A,122,118,9,4858,183,44.56,4880,99.54,13,19,494,108,57,0,Aiden Markram Career Stats,Africa,Right hand Bat,Opening Batter
T20s,128,118,20,3257,100,33.23,2442,133.37,1,22,281,114,65,0,Aiden Markram Career Stats,Africa,Right hand Bat,Opening Batter
ODIs,173,149,43,4458,139,42.05,4315,103.31,6,24,330,138,83,0,David Miller Career Stats,Africa,Left hand Bat,Middle order Batter
T20Is,116,101,34,2268,106*,33.85,1569,144.55,2,6,150,109,78,1,David Miller Career Stats,Africa,Left hand Bat,Middle order Batter
FC,63,99,7,3342,177,36.32,5782,57.8,6,19,459,42,73,0,David Miller Career Stats,Africa,Left hand Bat,Middle order Batter
List A,276,240,60,7486,139,41.58,7405,101.09,10,46,567,223,128,0,David Miller Career Stats,Africa,Left hand Bat,Middle order Batter
T20s,456,413,137,9779,120*,35.43,7046,138.78,4,44,686,438,287,1,David Miller Career Stats,Africa,Left hand Bat,Middle order Batter
Tests,6,4,0,67,23,16.75,180,37.22,0,0,11,0,3,0,Wayne Parnell Career Stats,Africa,"Pigeon, Parny",Left arm Medium fast
ODIs,73,43,15,574,56,20.5,723,79.39,0,1,43,9,13,0,Wayne Parnell Career Stats,Africa,"Pigeon, Parny",Left arm Medium fast
T20Is,56,23,13,174,29*,17.4,180,96.66,0,0,13,4,7,0,Wayne Parnell Career Stats,Africa,"Pigeon, Parny",Left arm Medium fast
FC,84,113,14,2728,111*,27.55,5214,52.32,2,17,352,25,25,0,Wayne Parnell Career Stats,Africa,"Pigeon, Parny",Left arm Medium fast
List A,187,130,34,2266,129,23.6,2609,86.85,2,6,185,40,34,0,Wayne Parnell Career Stats,Africa,"Pigeon, Parny",Left arm Medium fast
T20s,280,168,62,1944,99,18.33,1575,123.42,0,5,159,70,61,0,Wayne Parnell Career Stats,Africa,"Pigeon, Parny",Left arm Medium fast
Tests,5,10,0,253,103,25.3,415,60.96,1,0,33,4,4,0,Paul Stirling Career Stats,Ireland,Right hand Bat,Batting Allrounder
ODIs,159,152,3,5645,177,37.88,6472,87.22,14,28,609,136,60,0,Paul Stirling Career Stats,Ireland,Right hand Bat,Batting Allrounder
T20Is,134,133,11,3438,115*,28.18,2533,135.72,1,23,399,123,35,0,Paul Stirling Career Stats,Ireland,Right hand Bat,Batting Allrounder
FC,73,115,5,3188,146,28.98,5122,62.24,8,14,438,35,40,0,Paul Stirling Career Stats,Ireland,Right hand Bat,Batting Allrounder
List A,255,244,9,8637,177,36.75,9560,90.34,22,39,950,203,98,0,Paul Stirling Career Stats,Ireland,Right hand Bat,Batting Allrounder
T20s,341,339,17,8191,119,25.43,5784,141.61,3,52,950,330,94,0,Paul Stirling Career Stats,Ireland,Right hand Bat,Batting Allrounder
